country,city,aqi_value,aqi_category,co_aqi,co_category,ozone_aqi,ozone_category,no2_aqi,no2_category,pm25_aqi,pm25_category
China,Nandu,103.00,Unhealthy for Sensitive Groups,5.00,Good,27.00,Good,10.00,Good,103.00,Unhealthy for Sensitive Groups
India,Nandyal,94.00,Moderate,2.00,Good,43.00,Good,2.00,Good,94.00,Moderate
Kenya,Nanyuki,72.00,Moderate,2.00,Good,16.00,Good,1.00,Good,72.00,Moderate
Pakistan,Narang,173.00,Unhealthy,6.00,Good,36.00,Good,14.00,Good,173.00,Unhealthy
Brazil,Natividade,29.00,Good,0.00,Good,23.00,Good,0.00,Good,29.00,Good
Ireland,Navan,38.00,Good,1.00,Good,38.00,Good,0.00,Good,35.00,Good
India,Nayudupeta,141.00,Unhealthy for Sensitive Groups,3.00,Good,47.00,Good,4.00,Good,141.00,Unhealthy for Sensitive Groups
Netherlands,Neerijnen,38.00,Good,1.00,Good,38.00,Good,1.00,Good,38.00,Good
Germany,Neubrandenburg,44.00,Good,1.00,Good,44.00,Good,0.00,Good,23.00,Good
United States of America,New Cassel,59.00,Moderate,2.00,Good,38.00,Good,8.00,Good,59.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Newcastle Upon Tyne,40.00,Good,1.00,Good,39.00,Good,0.00,Good,40.00,Good
Japan,Nobeoka,40.00,Good,1.00,Good,31.00,Good,4.00,Good,40.00,Good
Russian Federation,Nogir,40.00,Good,1.00,Good,40.00,Good,1.00,Good,35.00,Good
United States of America,North Amityville,60.00,Moderate,1.00,Good,46.00,Good,5.00,Good,60.00,Moderate
United States of America,North Canton,49.00,Good,1.00,Good,40.00,Good,1.00,Good,49.00,Good
United States of America,Northbrook,42.00,Good,1.00,Good,41.00,Good,3.00,Good,42.00,Good
Italy,Novate Milanese,90.00,Moderate,1.00,Good,67.00,Moderate,0.00,Good,90.00,Moderate
Cuba,Nueva Gerona,33.00,Good,1.00,Good,33.00,Good,0.00,Good,26.00,Good
Uzbekistan,Nukus,69.00,Moderate,1.00,Good,28.00,Good,3.00,Good,69.00,Moderate
Japan,Numazu,71.00,Moderate,1.00,Good,36.00,Good,5.00,Good,71.00,Moderate
Netherlands,Nunspeet,38.00,Good,0.00,Good,38.00,Good,0.00,Good,29.00,Good
Finland,Nurmijarvi,34.00,Good,1.00,Good,34.00,Good,1.00,Good,8.00,Good
Argentina,Obera,19.00,Good,0.00,Good,19.00,Good,0.00,Good,12.00,Good
Brazil,Oeiras,20.00,Good,0.00,Good,20.00,Good,0.00,Good,18.00,Good
Japan,Oiso,70.00,Moderate,1.00,Good,35.00,Good,6.00,Good,70.00,Moderate
Hungary,Esztergom,63.00,Moderate,1.00,Good,63.00,Moderate,0.00,Good,57.00,Moderate
Germany,Euskirchen,55.00,Moderate,1.00,Good,48.00,Good,0.00,Good,55.00,Moderate
Republic of Moldova,Falesti,56.00,Moderate,1.00,Good,55.00,Moderate,0.00,Good,56.00,Moderate
Canada,Fergus,32.00,Good,1.00,Good,27.00,Good,0.00,Good,32.00,Good
United States of America,Foster City,52.00,Moderate,1.00,Good,32.00,Good,4.00,Good,52.00,Moderate
Germany,Freudenberg,53.00,Moderate,1.00,Good,47.00,Good,0.00,Good,53.00,Moderate
Uzbekistan,Gazalkent,87.00,Moderate,1.00,Good,39.00,Good,5.00,Good,87.00,Moderate
Germany,Geldern,48.00,Good,1.00,Good,37.00,Good,1.00,Good,48.00,Good
China,Genhe,123.00,Unhealthy for Sensitive Groups,1.00,Good,29.00,Good,0.00,Good,123.00,Unhealthy for Sensitive Groups
,Ghogha,91.00,Moderate,1.00,Good,25.00,Good,1.00,Good,91.00,Moderate
China,Dandong,81.00,Moderate,2.00,Good,42.00,Good,3.00,Good,81.00,Moderate
Togo,Dapaong,48.00,Good,1.00,Good,27.00,Good,0.00,Good,48.00,Good
Germany,Datteln,52.00,Moderate,1.00,Good,42.00,Good,0.00,Good,52.00,Moderate
United States of America,Decatur,60.00,Moderate,1.00,Good,44.00,Good,1.00,Good,60.00,Moderate
Belgium,Deerlijk,44.00,Good,1.00,Good,38.00,Good,1.00,Good,44.00,Good
Ethiopia,Dejen,61.00,Moderate,1.00,Good,23.00,Good,0.00,Good,61.00,Moderate
Iran (Islamic Republic of),Delijan,109.00,Unhealthy for Sensitive Groups,1.00,Good,37.00,Good,0.00,Good,109.00,Unhealthy for Sensitive Groups
Turkey,Demirci,54.00,Moderate,1.00,Good,54.00,Moderate,0.00,Good,50.00,Good
United States of America,Dentsville,43.00,Good,1.00,Good,43.00,Good,2.00,Good,28.00,Good
India,Deoranian,154.00,Unhealthy,4.00,Good,33.00,Good,8.00,Good,154.00,Unhealthy
Turkey,Devrek,51.00,Moderate,1.00,Good,43.00,Good,0.00,Good,51.00,Moderate
Belgium,Dison,57.00,Moderate,1.00,Good,42.00,Good,1.00,Good,57.00,Moderate
Romania,Dolhasca,58.00,Moderate,1.00,Good,46.00,Good,0.00,Good,58.00,Moderate
France,Draguignan,57.00,Moderate,1.00,Good,57.00,Moderate,1.00,Good,38.00,Good
United States of America,East Ridge,42.00,Good,1.00,Good,42.00,Good,3.00,Good,27.00,Good
Germany,Ebersberg,68.00,Moderate,1.00,Good,67.00,Moderate,0.00,Good,68.00,Moderate
Spain,Ejea De Los Caballeros,38.00,Good,1.00,Good,38.00,Good,0.00,Good,11.00,Good
Egypt,El Balyana,80.00,Moderate,1.00,Good,80.00,Moderate,0.00,Good,79.00,Moderate
United States of America,Elk Grove,50.00,Good,1.00,Good,27.00,Good,7.00,Good,50.00,Good
India,Madhipura,144.00,Unhealthy for Sensitive Groups,4.00,Good,36.00,Good,8.00,Good,144.00,Unhealthy for Sensitive Groups
Kenya,Magadi,30.00,Good,1.00,Good,17.00,Good,0.00,Good,30.00,Good
Portugal,Maia,40.00,Good,0.00,Good,40.00,Good,1.00,Good,20.00,Good
India,Majitha,163.00,Unhealthy,4.00,Good,45.00,Good,8.00,Good,163.00,Unhealthy
India,Malpura,186.00,Unhealthy,2.00,Good,32.00,Good,5.00,Good,186.00,Unhealthy
Madagascar,Mananara,17.00,Good,0.00,Good,17.00,Good,0.00,Good,15.00,Good
Myanmar,Mandalay,71.00,Moderate,2.00,Good,7.00,Good,3.00,Good,71.00,Moderate
Bangladesh,Manikganj,151.00,Unhealthy,4.00,Good,20.00,Good,11.00,Good,151.00,Unhealthy
Romania,Baia Sprie,54.00,Moderate,1.00,Good,45.00,Good,0.00,Good,54.00,Moderate
Indonesia,Barabai,67.00,Moderate,2.00,Good,5.00,Good,2.00,Good,67.00,Moderate
Venezuela (Bolivarian Republic of),Barquisimeto,32.00,Good,1.00,Good,21.00,Good,0.00,Good,32.00,Good
United States of America,Bellefontaine,46.00,Good,1.00,Good,38.00,Good,1.00,Good,46.00,Good
India,Beri,176.00,Unhealthy,5.00,Good,113.00,Unhealthy for Sensitive Groups,9.00,Good,176.00,Unhealthy
Belgium,Berlare,49.00,Good,1.00,Good,37.00,Good,2.00,Good,49.00,Good
Uzbekistan,Beruni,71.00,Moderate,1.00,Good,39.00,Good,3.00,Good,71.00,Moderate
India,Bhinga,141.00,Unhealthy for Sensitive Groups,4.00,Good,25.00,Good,9.00,Good,141.00,Unhealthy for Sensitive Groups
India,Bhuvanagiri,91.00,Moderate,2.00,Good,31.00,Good,6.00,Good,91.00,Moderate
United States of America,Big Rapids,48.00,Good,1.00,Good,29.00,Good,0.00,Good,48.00,Good
Japan,Bihoro,37.00,Good,1.00,Good,35.00,Good,1.00,Good,37.00,Good
Botswana,Bobonong,31.00,Good,0.00,Good,31.00,Good,0.00,Good,24.00,Good
United States of America,Bogalusa,48.00,Good,1.00,Good,35.00,Good,1.00,Good,48.00,Good
Italy,Bolzano,61.00,Moderate,1.00,Good,42.00,Good,0.00,Good,61.00,Moderate
Côte d'Ivoire,Bonoua,33.00,Good,1.00,Good,23.00,Good,0.00,Good,33.00,Good
Georgia,Borjomi,65.00,Moderate,1.00,Good,32.00,Good,0.00,Good,65.00,Moderate
United States of America,Bossier City,45.00,Good,1.00,Good,45.00,Good,1.00,Good,43.00,Good
,Bremerton,41.00,Good,1.00,Good,27.00,Good,6.00,Good,41.00,Good
United States of America,Brook Park,54.00,Moderate,1.00,Good,38.00,Good,2.00,Good,54.00,Moderate
Canada,Brooks,60.00,Moderate,1.00,Good,26.00,Good,1.00,Good,60.00,Moderate
United States of America,Brunswick,30.00,Good,1.00,Good,30.00,Good,1.00,Good,22.00,Good
Switzerland,Buchs,56.00,Moderate,1.00,Good,48.00,Good,0.00,Good,56.00,Moderate
Iran (Islamic Republic of),Bukan,61.00,Moderate,1.00,Good,47.00,Good,0.00,Good,61.00,Moderate
Democratic Republic of the Congo,Bumba,80.00,Moderate,2.00,Good,10.00,Good,0.00,Good,80.00,Moderate
Italy,Bussolengo,83.00,Moderate,1.00,Good,49.00,Good,0.00,Good,83.00,Moderate
Germany,Buxtehude,45.00,Good,1.00,Good,45.00,Good,0.00,Good,24.00,Good
Poland,Bystrzyca Klodzka,59.00,Moderate,1.00,Good,40.00,Good,0.00,Good,59.00,Moderate
France,Caen,55.00,Moderate,1.00,Good,37.00,Good,1.00,Good,55.00,Moderate
Italy,Cairo Montenotte,64.00,Moderate,1.00,Good,64.00,Moderate,0.00,Good,51.00,Moderate
France,Cannes,61.00,Moderate,1.00,Good,61.00,Moderate,1.00,Good,42.00,Good
Mexico,Capilla De Guadalupe,54.00,Moderate,1.00,Good,30.00,Good,0.00,Good,54.00,Moderate
United Kingdom of Great Britain and Northern Ireland,Carlisle,38.00,Good,1.00,Good,38.00,Good,0.00,Good,35.00,Good
,Carpinteria,50.00,Good,1.00,Good,22.00,Good,7.00,Good,50.00,Good
Italy,Carugate,89.00,Moderate,1.00,Good,64.00,Moderate,0.00,Good,89.00,Moderate
Italy,Caselle Torinese,79.00,Moderate,1.00,Good,55.00,Moderate,0.00,Good,79.00,Moderate
Italy,Castrovillari,51.00,Moderate,1.00,Good,51.00,Moderate,0.00,Good,42.00,Good
Brazil,Catu,22.00,Good,0.00,Good,22.00,Good,0.00,Good,21.00,Good
Angola,Catumbela,53.00,Moderate,1.00,Good,20.00,Good,0.00,Good,53.00,Moderate
Italy,Cetraro,51.00,Moderate,1.00,Good,49.00,Good,0.00,Good,51.00,Moderate
India,Channapatna,68.00,Moderate,1.00,Good,20.00,Good,4.00,Good,68.00,Moderate
India,Chinnammanur,79.00,Moderate,2.00,Good,14.00,Good,4.00,Good,79.00,Moderate
Russian Federation,Chuguyevka,71.00,Moderate,1.00,Good,61.00,Moderate,0.00,Good,71.00,Moderate
China,Chuncheng,81.00,Moderate,2.00,Good,16.00,Good,10.00,Good,81.00,Moderate
China,Chuzhou,168.00,Unhealthy,8.00,Good,22.00,Good,31.00,Good,168.00,Unhealthy
Denmark,Aalborg,46.00,Good,1.00,Good,46.00,Good,0.00,Good,12.00,Good
,Abaetetuba,36.00,Good,0.00,Good,17.00,Good,0.00,Good,36.00,Good
United States of America,Acushnet,47.00,Good,1.00,Good,40.00,Good,2.00,Good,47.00,Good
Greece,Agrinion,114.00,Unhealthy for Sensitive Groups,1.00,Good,43.00,Good,0.00,Good,114.00,Unhealthy for Sensitive Groups
Mexico,Agua Dulce,67.00,Moderate,2.00,Good,20.00,Good,1.00,Good,67.00,Moderate
Mexico,Aguascalientes,55.00,Moderate,1.00,Good,21.00,Good,2.00,Good,55.00,Moderate
India,Ahmadnagar,155.00,Unhealthy,2.00,Good,33.00,Good,6.00,Good,155.00,Unhealthy
Hungary,Albertirsa,66.00,Moderate,1.00,Good,66.00,Moderate,0.00,Good,58.00,Moderate
Portugal,Alcabideche,38.00,Good,1.00,Good,38.00,Good,2.00,Good,20.00,Good
Russian Federation,Aldan,30.00,Good,1.00,Good,23.00,Good,0.00,Good,30.00,Good
Russian Federation,Aleksandrovskoye,45.00,Good,1.00,Good,45.00,Good,0.00,Good,19.00,Good
Colombia,Algarrobo,83.00,Moderate,1.00,Good,27.00,Good,0.00,Good,83.00,Moderate
Russian Federation,Alleroy,61.00,Moderate,1.00,Good,43.00,Good,1.00,Good,61.00,Moderate
United States of America,Altamonte Springs,97.00,Moderate,1.00,Good,97.00,Moderate,1.00,Good,20.00,Good
India,Ambasamudram,68.00,Moderate,1.00,Good,21.00,Good,3.00,Good,68.00,Moderate
India,Amloh,161.00,Unhealthy,4.00,Good,43.00,Good,13.00,Good,161.00,Unhealthy
Netherlands,Amsterdam,38.00,Good,0.00,Good,38.00,Good,0.00,Good,30.00,Good
Colombia,Andes,63.00,Moderate,2.00,Good,20.00,Good,1.00,Good,63.00,Moderate
Spain,Arahal,43.00,Good,1.00,Good,43.00,Good,0.00,Good,14.00,Good
Japan,Asahi,52.00,Moderate,0.00,Good,28.00,Good,6.00,Good,52.00,Moderate
Turkmenistan,Asgabat,115.00,Unhealthy for Sensitive Groups,1.00,Good,39.00,Good,1.00,Good,115.00,Unhealthy for Sensitive Groups
France,Aurillac,60.00,Moderate,1.00,Good,40.00,Good,0.00,Good,60.00,Moderate
Colombia,Ayapel,57.00,Moderate,1.00,Good,19.00,Good,0.00,Good,57.00,Moderate
Ecuador,Azogues,8.00,Good,0.00,Good,7.00,Good,0.00,Good,8.00,Good
India,Babra,129.00,Unhealthy for Sensitive Groups,1.00,Good,32.00,Good,3.00,Good,129.00,Unhealthy for Sensitive Groups
United Kingdom of Great Britain and Northern Ireland,Coalville,35.00,Good,1.00,Good,29.00,Good,1.00,Good,35.00,Good
United States of America,Coamo,121.00,Unhealthy for Sensitive Groups,0.00,Good,29.00,Good,0.00,Good,121.00,Unhealthy for Sensitive Groups
Brazil,Conceicao Do Araguaia,32.00,Good,0.00,Good,14.00,Good,0.00,Good,32.00,Good
Italy,Copparo,86.00,Moderate,1.00,Good,67.00,Moderate,0.00,Good,86.00,Moderate
Philippines,Cotabato,37.00,Good,1.00,Good,22.00,Good,1.00,Good,37.00,Good
Japan,Daigo,56.00,Moderate,1.00,Good,20.00,Good,7.00,Good,56.00,Moderate
India,Rupnagar,167.00,Unhealthy,5.00,Good,17.00,Good,25.00,Good,167.00,Unhealthy
Italy,Ruvo Di Puglia,59.00,Moderate,1.00,Good,59.00,Moderate,0.00,Good,44.00,Good
Russian Federation,Rylsk,40.00,Good,1.00,Good,40.00,Good,0.00,Good,12.00,Good
Japan,Saga,46.00,Good,1.00,Good,46.00,Good,3.00,Good,34.00,Good
France,Saint Ouen,69.00,Moderate,1.00,Good,45.00,Good,1.00,Good,69.00,Moderate
Japan,Sakai,83.00,Moderate,2.00,Good,21.00,Good,20.00,Good,83.00,Moderate
Sweden,Sala,34.00,Good,1.00,Good,34.00,Good,0.00,Good,14.00,Good
South Africa,Randfontein,192.00,Unhealthy,7.00,Good,15.00,Good,17.00,Good,192.00,Unhealthy
Poland,Reda,35.00,Good,1.00,Good,35.00,Good,0.00,Good,24.00,Good
Germany,Rehburg Loccum,43.00,Good,1.00,Good,43.00,Good,0.00,Good,30.00,Good
Brazil,Ribeirao Das Neves,41.00,Good,1.00,Good,22.00,Good,1.00,Good,41.00,Good
Brazil,Ribeirao,23.00,Good,0.00,Good,23.00,Good,0.00,Good,16.00,Good
Brazil,Ribeiropolis,21.00,Good,0.00,Good,21.00,Good,0.00,Good,13.00,Good
Brazil,Rio De Janeiro,87.00,Moderate,1.00,Good,33.00,Good,4.00,Good,87.00,Moderate
Argentina,Rio Gallegos,17.00,Good,0.00,Good,17.00,Good,0.00,Good,4.00,Good
Brazil,Rio Pardo,31.00,Good,1.00,Good,17.00,Good,1.00,Good,31.00,Good
United States of America,Riviera Beach,51.00,Moderate,1.00,Good,51.00,Moderate,1.00,Good,45.00,Good
United States of America,Rolla,72.00,Moderate,1.00,Good,44.00,Good,0.00,Good,72.00,Moderate
India,Ron,49.00,Good,1.00,Good,21.00,Good,3.00,Good,49.00,Good
Bangladesh,Pirganj,133.00,Unhealthy for Sensitive Groups,4.00,Good,25.00,Good,9.00,Good,133.00,Unhealthy for Sensitive Groups
United States of America,Placentia,134.00,Unhealthy for Sensitive Groups,4.00,Good,16.00,Good,22.00,Good,134.00,Unhealthy for Sensitive Groups
Russian Federation,Pogar,41.00,Good,1.00,Good,41.00,Good,0.00,Good,15.00,Good
Russian Federation,Pogranichnyy,94.00,Moderate,3.00,Good,33.00,Good,1.00,Good,94.00,Moderate
Sri Lanka,Polonnaruwa,69.00,Moderate,1.00,Good,17.00,Good,2.00,Good,69.00,Moderate
Russian Federation,Polysayevo,42.00,Good,1.00,Good,21.00,Good,6.00,Good,42.00,Good
Italy,Pontedera,83.00,Moderate,1.00,Good,83.00,Moderate,0.00,Good,39.00,Good
United States of America,Port Saint Lucie,36.00,Good,1.00,Good,36.00,Good,1.00,Good,16.00,Good
United States of America,Pottsville,48.00,Good,1.00,Good,41.00,Good,2.00,Good,48.00,Good
Switzerland,Pratteln,59.00,Moderate,1.00,Good,51.00,Moderate,0.00,Good,59.00,Moderate
Cuba,Primero De Enero,59.00,Moderate,1.00,Good,31.00,Good,0.00,Good,59.00,Moderate
India,Purushottampur,115.00,Unhealthy for Sensitive Groups,3.00,Good,47.00,Good,2.00,Good,115.00,Unhealthy for Sensitive Groups
Poland,Radzyn Podlaski,42.00,Good,1.00,Good,42.00,Good,0.00,Good,28.00,Good
India,Rajmahal,151.00,Unhealthy,4.00,Good,32.00,Good,9.00,Good,151.00,Unhealthy
India,Rajpur,136.00,Unhealthy for Sensitive Groups,2.00,Good,25.00,Good,4.00,Good,136.00,Unhealthy for Sensitive Groups
Russian Federation,Omutninsk,40.00,Good,1.00,Good,39.00,Good,0.00,Good,40.00,Good
Poland,Orzesze,64.00,Moderate,1.00,Good,45.00,Good,1.00,Good,64.00,Moderate
Poland,Ostroda,40.00,Good,1.00,Good,40.00,Good,0.00,Good,19.00,Good
Indonesia,Palabuhanratu,164.00,Unhealthy,6.00,Good,25.00,Good,14.00,Good,164.00,Unhealthy
India,Palera,167.00,Unhealthy,3.00,Good,103.00,Unhealthy for Sensitive Groups,2.00,Good,167.00,Unhealthy
India,Palmaner,94.00,Moderate,2.00,Good,21.00,Good,5.00,Good,94.00,Moderate
Colombia,Palmar De Varela,85.00,Moderate,1.00,Good,29.00,Good,1.00,Good,85.00,Moderate
,Palompon,47.00,Good,1.00,Good,23.00,Good,0.00,Good,47.00,Good
Brazil,Panambi,20.00,Good,0.00,Good,20.00,Good,0.00,Good,18.00,Good
Pakistan,Pano Aqil,156.00,Unhealthy,2.00,Good,15.00,Good,11.00,Good,156.00,Unhealthy
Serbia,Paracin,55.00,Moderate,1.00,Good,50.00,Good,0.00,Good,55.00,Moderate
,Paranagua,28.00,Good,0.00,Good,23.00,Good,0.00,Good,28.00,Good
India,Penugonda,153.00,Unhealthy,4.00,Good,42.00,Good,5.00,Good,153.00,Unhealthy
Austria,Perchtoldsdorf,70.00,Moderate,1.00,Good,67.00,Moderate,0.00,Good,70.00,Moderate
Mexico,Peto,57.00,Moderate,1.00,Good,24.00,Good,0.00,Good,57.00,Moderate
Germany,Ottersberg,41.00,Good,0.00,Good,41.00,Good,0.00,Good,26.00,Good
India,Bahraich,91.00,Moderate,2.00,Good,82.00,Moderate,0.00,Good,91.00,Moderate
Philippines,Baloc,148.00,Unhealthy for Sensitive Groups,1.00,Good,29.00,Good,2.00,Good,148.00,Unhealthy for Sensitive Groups
Germany,Balve,68.00,Moderate,1.00,Good,36.00,Good,5.00,Good,68.00,Moderate
Central African Republic,Bambari,79.00,Moderate,2.00,Good,16.00,Good,0.00,Good,79.00,Moderate
Brazil,Bambui,37.00,Good,1.00,Good,6.00,Good,1.00,Good,37.00,Good
China,Bantou,57.00,Moderate,1.00,Good,38.00,Good,2.00,Good,57.00,Moderate
China,Baoying,187.00,Unhealthy,4.00,Good,187.00,Unhealthy,3.00,Good,163.00,Unhealthy
Brazil,Beberibe,24.00,Good,0.00,Good,18.00,Good,0.00,Good,24.00,Good
India,Bhawanigarh,176.00,Unhealthy,4.00,Good,176.00,Unhealthy,1.00,Good,166.00,Unhealthy
Pakistan,Bhera,194.00,Unhealthy,4.00,Good,194.00,Unhealthy,1.00,Good,173.00,Unhealthy
India,Bhum,94.00,Moderate,1.00,Good,36.00,Good,1.00,Good,94.00,Moderate
India,Bidhuna,170.00,Unhealthy,4.00,Good,158.00,Unhealthy,1.00,Good,170.00,Unhealthy
India,Bijawar,162.00,Unhealthy,2.00,Good,108.00,Unhealthy for Sensitive Groups,0.00,Good,162.00,Unhealthy
Czechia,Bilina,79.00,Moderate,1.00,Good,32.00,Good,4.00,Good,79.00,Moderate
Zimbabwe,Bindura,93.00,Moderate,5.00,Good,14.00,Good,3.00,Good,93.00,Moderate
Democratic Republic of the Congo,Binga,70.00,Moderate,2.00,Good,15.00,Good,0.00,Good,70.00,Moderate
Ukraine,Bohuslav,40.00,Good,1.00,Good,40.00,Good,0.00,Good,17.00,Good
India,Bokaro,156.00,Unhealthy,3.00,Good,93.00,Moderate,2.00,Good,156.00,Unhealthy
United States of America,Bonita,75.00,Moderate,2.00,Good,16.00,Good,18.00,Good,75.00,Moderate
Russian Federation,Borovichi,30.00,Good,1.00,Good,30.00,Good,0.00,Good,16.00,Good
Netherlands,Boskoop,44.00,Good,1.00,Good,33.00,Good,4.00,Good,44.00,Good
France,Blois,34.00,Good,1.00,Good,29.00,Good,3.00,Good,34.00,Good
Germany,Boblingen,61.00,Moderate,1.00,Good,37.00,Good,2.00,Good,61.00,Moderate
Italy,Abano Terme,69.00,Moderate,1.00,Good,41.00,Good,2.00,Good,69.00,Moderate
Mexico,Abasolo,53.00,Moderate,1.00,Good,28.00,Good,3.00,Good,53.00,Moderate
Côte d'Ivoire,Adiake,50.00,Good,1.00,Good,21.00,Good,0.00,Good,50.00,Good
Turkey,Adilcevaz,39.00,Good,1.00,Good,33.00,Good,0.00,Good,39.00,Good
Ethiopia,Agaro,59.00,Moderate,1.00,Good,16.00,Good,0.00,Good,59.00,Moderate
Turkey,Ahlat,48.00,Good,1.00,Good,39.00,Good,0.00,Good,48.00,Good
India,Akividu,116.00,Unhealthy for Sensitive Groups,2.00,Good,52.00,Moderate,1.00,Good,116.00,Unhealthy for Sensitive Groups
Brazil,Alem Paraiba,61.00,Moderate,1.00,Good,10.00,Good,4.00,Good,61.00,Moderate
Canada,Amos,66.00,Moderate,1.00,Good,19.00,Good,0.00,Good,66.00,Moderate
Venezuela (Bolivarian Republic of),Anaco,132.00,Unhealthy for Sensitive Groups,1.00,Good,20.00,Good,1.00,Good,132.00,Unhealthy for Sensitive Groups
Chile,Angol,28.00,Good,1.00,Good,18.00,Good,3.00,Good,28.00,Good
Germany,Annaberg Buchholz,66.00,Moderate,1.00,Good,39.00,Good,3.00,Good,66.00,Moderate
Japan,Annaka,66.00,Moderate,1.00,Good,49.00,Good,1.00,Good,66.00,Moderate
Italy,Arco,59.00,Moderate,1.00,Good,23.00,Good,4.00,Good,59.00,Moderate
Brazil,Arinos,40.00,Good,1.00,Good,2.00,Good,2.00,Good,40.00,Good
United States of America,Arnold,54.00,Moderate,2.00,Good,27.00,Good,10.00,Good,54.00,Moderate
,Arraial Do Cabo,76.00,Moderate,2.00,Good,29.00,Good,4.00,Good,76.00,Moderate
Ethiopia,Assela,57.00,Moderate,1.00,Good,21.00,Good,0.00,Good,57.00,Moderate
Belgium,Assenede,57.00,Moderate,1.00,Good,37.00,Good,4.00,Good,57.00,Moderate
France,Auch,44.00,Good,1.00,Good,32.00,Good,2.00,Good,44.00,Good
Germany,Bad Munder,71.00,Moderate,2.00,Good,30.00,Good,7.00,Good,71.00,Moderate
United States of America,Bryant,50.00,Good,2.00,Good,32.00,Good,8.00,Good,50.00,Good
United Kingdom of Great Britain and Northern Ireland,Buckhaven,27.00,Good,1.00,Good,27.00,Good,1.00,Good,16.00,Good
United States of America,Buffalo Grove,62.00,Moderate,2.00,Good,12.00,Good,20.00,Good,62.00,Moderate
Switzerland,Bulach,54.00,Moderate,1.00,Good,38.00,Good,1.00,Good,54.00,Moderate
Spain,Burgos,49.00,Good,1.00,Good,23.00,Good,1.00,Good,49.00,Good
Ethiopia,Butajira,64.00,Moderate,1.00,Good,18.00,Good,0.00,Good,64.00,Moderate
United States of America,Cadillac,54.00,Moderate,1.00,Good,31.00,Good,2.00,Good,54.00,Moderate
Romania,Calafat,64.00,Moderate,1.00,Good,43.00,Good,1.00,Good,64.00,Moderate
Spain,Calahorra,58.00,Moderate,1.00,Good,17.00,Good,3.00,Good,58.00,Moderate
Philippines,Calintaan,32.00,Good,0.00,Good,25.00,Good,0.00,Good,32.00,Good
Republic of Moldova,Camenca,41.00,Good,1.00,Good,41.00,Good,0.00,Good,29.00,Good
Brazil,Campina Grande Do Sul,66.00,Moderate,1.00,Good,8.00,Good,5.00,Good,66.00,Moderate
Italy,Cassino,45.00,Good,1.00,Good,40.00,Good,2.00,Good,45.00,Good
Italy,Castelvetrano,83.00,Moderate,1.00,Good,46.00,Good,0.00,Good,83.00,Moderate
Angola,Catabola,27.00,Good,1.00,Good,23.00,Good,0.00,Good,27.00,Good
United States of America,Cedar Park,50.00,Good,1.00,Good,16.00,Good,3.00,Good,50.00,Good
Indonesia,Cepu,76.00,Moderate,2.00,Good,64.00,Moderate,1.00,Good,76.00,Moderate
China,Chaihe,69.00,Moderate,2.00,Good,42.00,Good,1.00,Good,69.00,Moderate
United States of America,Channahon,66.00,Moderate,2.00,Good,23.00,Good,13.00,Good,66.00,Moderate
Colombia,Chaparral,29.00,Good,1.00,Good,10.00,Good,1.00,Good,29.00,Good
Ukraine,Chaplynka,41.00,Good,1.00,Good,41.00,Good,0.00,Good,6.00,Good
Mexico,Charcas,41.00,Good,1.00,Good,23.00,Good,0.00,Good,41.00,Good
United States of America,Chesterfield,59.00,Moderate,2.00,Good,22.00,Good,12.00,Good,59.00,Moderate
India,Chetpet,101.00,Unhealthy for Sensitive Groups,2.00,Good,41.00,Good,2.00,Good,101.00,Unhealthy for Sensitive Groups
Peru,Chimbote,36.00,Good,1.00,Good,22.00,Good,0.00,Good,36.00,Good
Indonesia,Cibitung,152.00,Unhealthy,3.00,Good,152.00,Unhealthy,1.00,Good,111.00,Unhealthy for Sensitive Groups
Indonesia,Cikupa,207.00,Very Unhealthy,5.00,Good,207.00,Very Unhealthy,4.00,Good,166.00,Unhealthy
Brazil,Capao Da Canoa,57.00,Moderate,1.00,Good,16.00,Good,1.00,Good,57.00,Moderate
Brazil,Capelinha,31.00,Good,1.00,Good,16.00,Good,0.00,Good,31.00,Good
Spain,Carlet,26.00,Good,1.00,Good,24.00,Good,1.00,Good,26.00,Good
United States of America,Carson City,34.00,Good,1.00,Good,20.00,Good,5.00,Good,34.00,Good
China,Changzhou,164.00,Unhealthy,5.00,Good,164.00,Unhealthy,9.00,Good,158.00,Unhealthy
Pakistan,Chawinda,152.00,Unhealthy,3.00,Good,139.00,Unhealthy for Sensitive Groups,1.00,Good,152.00,Unhealthy
Spain,Chiclana,33.00,Good,1.00,Good,33.00,Good,2.00,Good,33.00,Good
Mexico,Chilapa,30.00,Good,1.00,Good,14.00,Good,2.00,Good,30.00,Good
Zimbabwe,Chinhoyi,50.00,Good,2.00,Good,16.00,Good,1.00,Good,50.00,Good
Colombia,Chinu,60.00,Moderate,2.00,Good,7.00,Good,5.00,Good,60.00,Moderate
China,Chishan,105.00,Unhealthy for Sensitive Groups,2.00,Good,105.00,Unhealthy for Sensitive Groups,3.00,Good,72.00,Moderate
Pakistan,Chishtian Mandi,190.00,Unhealthy,2.00,Good,107.00,Unhealthy for Sensitive Groups,1.00,Good,190.00,Unhealthy
Netherlands,Alphen,33.00,Good,0.00,Good,33.00,Good,2.00,Good,17.00,Good
Indonesia,Amuntai,45.00,Good,1.00,Good,15.00,Good,0.00,Good,45.00,Good
